Somali_homograph,Meaning_Index,Somali_definition
darbo,1,Si xoog ah uu kubbad lugta loogu laado.
darbo,2,Khayaano faa'iido weyn lagu helo.
darbo,3,Darab qaadasho.
darbo,4,qof hawl isu diyaarin.
dardar,1,"Xoog, karti iwm oo aan weli la isticmaalin; carcar."
dardar,2,Jiiridda wax la jiiro.
dareen,1,Garasho ku abuurta niyadda qofka isbeddal nafsadeed.
dareen,2,War dhiilo leh.
dareer,1,Dhaqaaqidda xoolo meel ay tuurnaayeen ka dhaqaaqaan. dareerid.
dareer,2,Hoore si aan kala go' lahayn u socosho.
dareer,3,Nafley meel ay tuurnayd ka dhaqaaqid. 
darmaan,1,Ubad fardood oo lab
darmaan,2,Nin mingis qaba.
darmaan,3,Ubad fardood oo dheddig.
darmaan,4,Qof dumar ah oo qaba mingis.
darmad,1,Midab guduud oo madow xigeen ah oo xooluhu yeeshaan.
darmad,2,"Koor boodaanta ka yar, aleelkana ka weyn."
daro,1,Tab awrtu u dagaasho oo ratigu luquntiisa dulmariyo luqunta ratiga kale isla markaana cududda ku dhegaayo.
daro,2,Tab legdinta kamid ah oo uu qof gacanta kaga maro qoorta qof kale
daro,3,"wax, wax kale ku kordhisasho."
daro,4,"qof, qof kale uurin."
daro,5,Is dhawr waxyaalood isku qaadasho.
daro,6,Is isku qasasho.
daroof,1,Darmooyin casaan ah oo guryaha derbiyadooda lagu qurxiyo.
daroof,2,Derbiyada guryaha casaan ku qurxin.
daruur,1,"Tolmo kabaha, lammooyinka iwm sarjiyada looga tolo si loo qurxiyo."
daruur,2,Caad biyo xambaarsan oo cirka iyo dhulka dhexdooda heehaaba. daruur3 m.dh Dhibco yaryar
daruuri,1,wax nolosha aanay ka maarmin.
daruuri,2,Is arrin ama meel si geesinnimo iyo degdeg leh elid.
daruuro,1,Siriqda loo yeelo xarig wax lagu qabanayo.
daruuro,2,"Kabo, maro iwm liid qurxan ku tolasho."
daryeel,1,Waxtar; kaalmo; taageero; gargaar.
daryeel,2,daryaalid.
daryeel,3,Wax xannaanayn.
daw,1,"Waddo, dariiq; jid."
daw,2,Meel gaaban lagana gudbi karo ee buuro is haysta oo hakiya dhaqaaqa.
daw,3,Ceelal badan oo isku meel ku yaalla.
dawaaf,1,Wareegga kacbada lagu sameeyo iyadoo waajibka xajka la gudanayo.
dawaaf,2,Socod badan oo warwareeg ku jiro samayn.
dawar,1,Baryo iyo yabooh u wareegid.
dawar,2,Markab ama doon washirid.
dawar,3,Markab ama doon leexin. 
dayaan,1,"Sharqan ama hugun weyn oo ka yimaada durbaan la tumayo, xoolo ama dad badan oo meel isugu yimid."
dayaan,2,"Cod dheer oo buuraha, daaraha, qararka iwm ay soo celiyaan markuu ku dhacay kaddi daryaan1, diryaan1, diyaan1."
dayaan,3,"Noqodka hir jabaq ee dul xoogaa innaga fog ay soo celisay, oo ka laciifsan jabaqdii asalka ahayd. Faraqa waqtiga ee ayoonka iyo jabaqda asalka ah, waxa ay muujisaa fogaanta gebiga ama buurta iwm."
dayaan,4,"Durbaan, dhul iwm sharqan, hugun weyn ka yeerid. daryaan2, diryaan2, diyaan2."
dayac,1,Daryeel iyo xannaana la'aan.
dayac,2,Wax baylihin ama xannaana xumayn. 
dayactir,1,"Dib u hagaajinta lagu sameeyo guri, qalab iwm oo wax ka xumaadeen."
dayactir,2,Ka ilaalinta wax laga ilaaliyo darxumada iyo baylahda.
dayactir,3,"Guri, qalab iwm wax ka xummaday dib u hagaajin."
dayactir,4,Wax darxumo iyo baylah ka ilaalin.
dedan,1,Waqti wixii la sheegaa aanay shaac bixin oo qarsoomaan. 
dedan,2,Wax la deday noqosho. 
deddatir,1,Dhaxantir.
deddatir,2,Gargaar degdeg ah oo loo fidiyo qof la qaniinay ama dhaawac halis ahi gaarey; dhibiibtir. deddatirid.
deddatir,3,Nafley dhaxamaysan diirrimaad siin.
deddatir,4,Qof la qaniinay ama dhaawac halis ahi gaarey si degdeg ah argaarid.
deeb,1,"Caws weelasha lagu deebiyo, leh caleemo dhuudhuuban, ubax qodxo leh oo ka baxa bannaanada."
deeb,2,"Dambas dhirta qaarkeed laga shido oo loo isticmaalo waxyaabo kala duwan sida dhayidda xoolaha, magdaynta hargaha iwm."
deeb,3,Dambas.
deeb,4,"dabadeed, kaddi deebaaji  diibaaji."
deeg,1,qof wax lahaa oo faqriyey.
deeg,2,Istaag! .
deeg,3,Qof cayrtoobid.
deegaan,1,"Geed weyn canjeelka u eg, sida badan webiga jiinkiisa ka baxa oo leh miro la cuno."
deegaan,2,Doog meel roob badan ku da'ay ka baxa.
deelqaaf,1,Ka leexashada qaafiyad maanso ocotay laga leexdo.
deelqaaf,2,Hadal meesha laga sheegayo aan ku habboonayn ama gef ah.
deelqaaf,3,Labo waxyaalood oo aan isu dhoweyn isu keenid.
deelqaaf,4,"hadal meel ka dhac ah, aan daw lahayn qof ku dhihid. deelqaafi  maanso"
deeq,1,Hanti aan deyn ahayn oo cid u baahan la siiyo.
deeq,2,"Wax, wax kale oo loogu talaggalay ku filnaansho."
deg,1,Dhul korreeya hoobadka ah.
deg,2,Meel rug ah dhigasho .
deg,3,Wax duulayey fariisasho.
deg,4,Xabbad turub ah bad dhigid.
deg,5,"Wax, biyo hoos ugu shiidid."
deris,1,Dad degsiimada is xiga oo isu dhaw.
deris,2,Mid ka mid ah dhinacyada saddexagal ee sammeeya xagal la isa siiyey. Marka laga hadlayo saddexagal qumman deris waa dhinaca u dhexeeya xagasha la isa siiyey iyo midda qumman. Marka laga hadlayo tirigonoometeri saamiga dhinaca deriska ah uu sammeeyo dhererrada dhinacyada kale waxa loo adeegsadaa in lagu qeexo fansaarada xaglaha kosayn iyo tanjanka. Waxa uu sheegaa laba dhinac ee geesole oo wadaaga gees.
deris,3,Waxa uu sheegaa laba xaglood oo wadaaga gees iyo dhinac.
deris,4,Laba weji oo ka mid ah wejiyada salxaale oo uu ka dhexeeyo geftin wadaag ah.
deris,5,Wax barashadooda ka baaraan degid.
deris,6,Cid jaar la noqosho.
deyn,1,Lacag iwm oo lays amaahsho.
deyn,2,Haadaan; jar.
dib,1,Dhabarka xoolaha qaarkiisa danbe .
dib,2,Gadaal.
dib,3,Ka d./kadd xagga dambe ka xiga.
dibbir,1,Dibbiro calool.
dibbir,2,Qof maal qabeen ah.
dibbir,3,Dabayl badan oo gudaheeda amaysantay awgeed fuurid .
dibbir,4,Cid aad u dhargid.
dibbir,5,Qof cayil.
dibbood,1,Baadi cidla bariday.
dibbood,2,"Xoolo, xeradoodii ka dhixid."
dibjir,1,Qof sabool ah oo aan hoy uu u hoydo lahayn.
dibjir,2,Kuray geela ilaaliya.
dibjir,3,Habeen dhan qadid. dibjirid 
dig,1,Rubad.
dig,2,Naf.
dig,3,Garaaca wadnaha ee halbowlayaasha laga garto.
dig,4,Aroos iwm cid ogeysiin.
dig,5,qof wax u daran oo oo fool leh ama lala maagganyahay dareensiin si uu uga gaashaanto.
digaggub,1,Baabbi'inta wax la baabbi'iyo.
digaggub,2,Wax ciribtirid. digaggubid 
digdhaw,1,dhigdhebid. Gawricidda nafley la gawraco.
digdhaw,2,D.  nafley sakaraad ah.
digdhaw,3,Nafley rubad goyn.
digdhaw,4,Wax sakaraad ah noqosho .
digir,1,Dabar.
digir,2,Midab madow oo ilkuhu yeeshaan.
digir,3,"Nooc dalagga ka mid ah, dhala miro u eg qaabka kellida, leh midabbo iyo jaadad kala geddisan. diir2."
digo,1,Saalo.
digo,2,Saalo burburtay oo badan.
digo,3,Aroos cid ugu wacasho.
digo,4,"col jabay, qof laga adkaaday iwm hadal lafajebis ah ku dhihid."
digrii,1,Darajo.
digrii,2,"Halbeegga heerkulka oo la doorsooma kolba qiyaasta la adeegsanayo, sida santigireedh ama feeranhayt."
digrii,3,Halbeegga loolka ama dhigaha ee la adeegsado si loo muujiyo meel ka mid ah dhulka dushiisa.
diin,1,"Nooc xamaaratada ka mid ah aad aabiya, leh qolof adag oo ku dahaaran afar lugood iyo qoor dheer oo aan dhogor lahayn; diindiin. diindiin."
diin,2,"Caqiido cid ku xiraysa awood ka sarraysa oo ay aaminsantahay in ay wax yeeli karto, waxna u tari karto."
diin,3,"Qawaaniin Eebbe u soo dejiyey dadka dunida ku nool si ay waxa wanaagsan u falaan, waxa xunna uga reebtoomaan."
diin,4,Quraan.
diin,5,qof wax la yaab leh oo aanu hore u arki jirin qaadan waayid.
diin,6,wax araggooda waayid.
diiq,1,diig Digaagga kiisa la
diiq,2,Kalluun yaryar oo gudguduudan.
diiq,3,"Cunto, dhar iwm aan badnayn oo loo geeyo ummul, aroos, qof jirran iwm."
diiq,4,"Wax sii yaraansho, sii liciifid."
diiq,5,cid dhibaataysan wax ugu deeqid.
diirad,1,"Aalad lagu kala garto jahooyinka, leh qaab sacadeed oo lagu hoggaamiyo maraakiibta."
diirad,2,"Marka uu qof hadlayo, weer kastoo ka mid ah warkiisa waxaa ka mid ah qayb uu si gaar ah u danaynayo, sidaas darteed hadluhu wuxuu adeegsadaa summad u baaqda dhegeystaha qaybtaas."
diirdiir,1,Jaad ugaarta ka mid ah oo diillimo leh; goodir.
diirdiir,2,"Cayayaan yar oo jilicsan, leh duf badan, wuxuu ku dulnoolyahay dhirta, aakhirutaankana wuxuu noqdaa balanbaalis, nirgadhoob iwm. diir2."
diirran,1,Isir; dhalan.
diirran,2,Wax aan aad u kululayn ahaansho. Tus. Caano diirran baan cabbey.
dilan,1,Ilmo dhawr bilood ah oo uurka ku qoonmay.
dilan,2,Dhul mudda badan la daaqaayay oo xaalufay.
dilan,3,dilmid.
dilan,4,"Iska dhimasho; iyadoo aan la dilin, iska geryoomid."
dilan,5,Ilmo dhawr bilood ah uur ku qoonmid.
dilan,6,Wax la qurgooyay ahaansho .
dildillaac,1,"Jeexjeex uu yeesho dhul, jir nafley dhar iwm."
dildillaac,2,"Kala jeexjeexanka dhadhaabaha, marka ay la kulmaan cadaadis heer sare ah; waxa ay noqdaan qaydad ama xaashiyo khafiif ah."
dildillaac,3,"Dhul, dhar, oogo nafley, jeexjeex yeelasho. Tus. Dhulki baa dildillaacay."
diliq,1,Hanjaleelo.
diliq,2,Ilmo yar oo dad hanjaleelo daadin.
dillaac,1,Meesha bannaan ee u dhaxaysa wax is haystay oo in yar kala fuqay.
dillaac,2,"Wax jeexmid, qarxid."
dillaac,3,"Ciid, dagaal, iwm bilaabasho."
dillaan,1,Dhicidda wax culusi dhinac u dhaco.
dillaan,2,dillaamid. Leexashada wax badani hal mar dhinac u wada leexdo.
diq,1,Raad badan.
diq,2, meel wax badan la dagganaa oo ciiddeedu xumaatay.
diq,3,meel cagta ku badin .
diq,4,wax aad u nicid.
diq,5,weel buuxa in kale iriiriyid.
diqdiqo,1,Socodka laba meelood si joogto ah laysaga socdo.
diqdiqo,2,Waddo dhuuban; wadiiqo. diqdiq1.
diqdiqo,3,cunto cuniddeeda ku noqnoqosho.
dir,1,Dad ama xoolo isku asal ah oo meel ka soo wada jeed; jaad; dhur.
dir,2,"Heer loo isticmaalo kala soocidda noolayaasha, taasi oo ka kooban hal ama in ka badan oo isku eg. Dirarka isu eg waxa loo kooxeeyaa faylan ahaan."
dir,3,"Waxaa lagu magacaabaa koox ereyo ah oo wadaaga hal ama dhawr dabeecadood, sida magacyada."
diric,1,Nin karti iyo ragannimo dheeraad ah leh.
diric,2,"Canbuur khafiif ah, si holofholof ah u tolan oo haweenku qaataan."
diric,3,Dhismo dheer oo dusha ka dedan dhinacyadana ka furan oo dusheeda timirta lagu waro si ay suubaan u noqoto.
dirir,1,Dagaal; colaad.
dirir,2, Urur xiddiga ah oo naafaha ugu dambeeya oo u dhexeeya diriday iyo garbo
dirir,3,Cid la dagaallamid. dirircawleed  Dirirsagaaro.
dood,1,Hadal lagu falanqaynaayo arrin lagu muransanyahay oo la rabo in laga gungaaro.
dood,2,"Marka laga hadlayo loojig, waa susun hawraaro ama weedho ah oo ka bilaabanta urur qaadashooyin ah kuna dhammaata go'aan."
dood,3,Arrin lagu muransanyahay oo la rabo in lagun gaaro ra'yi ka jeedin.
doog,1,Caleenta iyo cawska cusub ee uu roobka soo saaro; naq; tigaad.
doog,2,"Xilli roob da'ay, dhulagaaranyahay dadka iyo xooluhuna baraare ku jiraan. doogaad."
doog,3,Soo laba kacleynta uu soo laba kacleeyo nabar hore u biskooday.
doog,4, biyo cirka ka yimid oo weel loo hoorsaday.
doog,5,Nabar hore u biskooday mar labaad soo kicid.
doog,6,Roob da'aya weel u hoorsasho .
dool,1,"Qof dilaa ah, tuug khatar ah, bahal halis ah iwm oo meel aan laga aqoon yimid."
dool,2,Labada qaybood ee barida dadka ama idaha middood.
dool,3,Doon yar oo webiyada looga tallaabo.
dool,4,"Qof, bahal iwm meel aan laga aqoon aadid."
doon,1,"gaadiid badeed shiraac leh oo markabka ka yar bedenkana ka weyn ,xaryan"
doon,2,Xoolo tabar yar oo aan aroor dheer geli karin.
doon,3,Meel dhulka inyar ka yara kacsan
doon,4,wax raadin
doon,5,gabadh guur laga doonayo reerkooda weydiisasho
doon,6,Wax rabid.
doondoon,1,Raadinta wax aan la hayn ama lumay oo hadba meel laga dayo.
doondoon,2,doondoonid.
doondoon,3,Wax aan la hayn ama lumay hadba meel ka dayid.
door,1,Wax xul ah.
door,2,In d.  wax aan la tirin karin oo qiyaas ahaan badan.
door,3,doorid.
door,4,Wax xulid. doorad  doorasho. dooradduur m.dh.u Kabaraay.
dooro,1,"Shimbir aan buubin, guri joog ah oo dadku manaafacaadsadaan;"
dooro,2,Wax xulasho.
doox,1,Saxaro jilicsan oo ay nafleydu dhigaan marka ay cunaan ama cabaan waxyaabo caloosha kiciya; shuban.
doox,2,Dhul godan oo biyo mareen ah; tog.
doox,3,Wax af leh calool nafley ku dhufasho si uurkujirtu uga soo dhacdo.
dooxo,1,Dhul hooseeya oo dhinacyada buuro ama dhulal sarreeya ka xigan.
dooxo,2,"Godan dhuuban, dheer oo dhulka korkiisa ah, oo badanaa leh tiiro hoosaad caadi joogto u ah."
doqon,1,Nin aan caqli iyo garaad badan lahayn; dabbaal.
doqon,2,Haweeney aan caqli iyo garaad badan lahayn.
dowli,1,"Xarig adag, dheer, oo inta wadaanta lagu xiro, ceelasha lagu shubo."
dowli,2,Ceel dowli hubid. 
dowr,1,"Ceel biyihii ka guureen, goof, gorof."
dowr,2,door. Kaalin.
dub,1,"Maqaar, harag iwm."
dub,2,"Qaybta adag ee weliba ah lakabka ugu hooseeya ee aragga lafdhabarleyda. Lakabka kale waa d.ka bare. Haraggu wuxuu ka koobanyahay nudo isku xidhayaal miiqan, kuwaas oo ay ku dhex jiraan dhuumaha dhiiggu, goonka tina ah, qanjidhada dufanka iyo narinnada dhididka. dub2 Hilib iwm dab ku"
dud,1,"Baadiye, duur."
dud,2,Qof caro muujin isagoo u fooltubaaya qofkuu araysnaa.
dud,3,Cid meel wada deggan.
dud,4,did.
dug,1,Delebka oo inta la rido aan wax dhibic ah lagu helin .
dug,2,Wax jihadey u socdeen ka leexin.
dug,3,Foorarsasho. dugaag .u . Bahalaha intooda hilib ku
dul,1,Oogada sare ee wax kasta leeyihiin.
dul,2,Meel sare oo dhulka intiisa kale ka yara kacsan.
dul,3,Sabir iyo adkeysi dhibaato loo yeesho.
dul,4,"Aad u fidsan, waa heer ama ugu badnaan heer meeleed oo dhul dheer, dhul sare ah."
dulsaar,1,Faa'iido laga helo lacag bangi la dhigtay.
dulsaar,2,Lacag dheeraad ah oo laga qaato lacag cid la amahiyey.
dulsaar,3,qof ka shaqeeya hay'adda uu ka tirsanyahay mid aan ahayn.
dulsaar,4,cid ciddii mas'uuliyaddu ka saarrayd aan ahayn la nool.
dulsaar,5,Ood weyn oo godaha laga keymamiyo.
dulsaar,6,Ood weyn oo oodafada ka kormarid.
dulsaar,7,Lacag la amaahday faa'iido dheeraad ah ku kordhin.
duluc,1,Googgaradda haweenka xarigga kor uga jira oo lagu xiro
duluc,2,Nuxurka hadalka.
dumaashi,1,Nin naagta uu qabo walaasheed wax uu u yahay.
dumaashi,2,"Qof dumar ah, waxa ay u tahay ninka walaasheed qaba. "
dun,1,"Liilimo laga soohay cudbi, dhogor, xariir iwm oo laga sameeyo dharka, meeshii ka dillaacdana lagaga tolo."
dun,2,Dad ama xoolo meel isugu ururin.
dun,3,caws qallalan oo weli daaq ku habboon.
dun,4,Dhisme iwm burburid.
dun,5,Gabbal dhicid.
duq,1,Qof da' weyn.
duq,2,Qof bulsho madax u ah.
duq,3, wax gaboobay.
duq,4,Biciid dheddig oo curad ah.
duq,5,Haweenay da' weyn.
duq,6,"Foorad, dhibic ."
durduur,1,Rakaad.
durduur,2,Ladaab
durduur,3,Biyo la siiyo neef hore cabbay.
durduur,4,Xoolo hore abbay biyo ay ku noqnoqdaan siin.
durraamo,1,  neef in lagu allebaryo loogu talaggalay.
durraamo,2,Ilaah baryid.
durraamo,3,wax weyddiisasho saraadii ku jirto; yu'asho; dhaawasho.
duub,1,Maro yar oo si gaar ah madaxa loogu xirto.
duub,2," xirmo tubaako, dhis, gaarso iwm ah."
duub,3,Xoolo si loo kaxeeya meel isugu keenid.
duub,4,"Dermo, maro, xarig iwm dhowr jeer isku dulwareejin."
duub,5,Nabar gaarso ku marid.
duuban,1,Derin iwm wax la duubay ahaansho.
duuban,2,Nabar wax gaarso lagu maray ahaansho.
duuban,3,Cajalad wax hadal lagu duubay ahaansho.
duuban,4,Is wax midaysan ahaansho.
duud,1,Dhabar.
duud,2,Meel dhulka ka sarreysa oo labada dhan dooxooyin ama togag ka xigan.
duud,3,Biyo yar oo weel biyood salkiisa ku jira. duuddo.
duud,4,"Buuro xiriira, sanaag."
duuf,1,Hilib la nacay.
duuf,2,Xaaraan; baqti; wax xun.
duuf,3,cid si loola dagaallamo ku boodid.
duuflaal,1,Nin aan wax tashiilan.
duuflaal,2,Nin aan shaqayste ahayn.
duuflaal,3,Sabool noqosho .
duug,1,Wax muddo badan lagu dhaq mayey.
duug,2,"Waxay tilmaamaysa waayadii hore, xilliyadii Masaaridii hore, Giriiga, iyo Roomaanka."
duug,3,Xoolaha la qalo marka qof dhinto; axan; qoriqaad.
duug,4,duugid.
duul,1,"Heer loo isticmaalo kala soocidda noolayaasha, kaas oo ka kooban tiro sinjiyaddoodu ay isku egyihiin ama ay isku dhawyihiin."
duul,2,"Diyaarad, shimbir iwm hawada dhexdeeda marid."
duul,3,Dad aad u badan oo aan la aqoon.
duul,4,Jinni.
duul,5,Dad badan in ay dagaal qaadaan u bixid.
dux,1,"Dufan, dheef, shux."
dux,2,Koox iskudhis oorgaanika ah oo laga helo noolayasha
dux,3,Laf iwm dufan dibadda u soo saarid.
dhaab,1,"Qori, bir iwm oo dhul xoog ugu mudan si uu u xajiyo dhismo iwm."
dhaab,2,Daloolada xanjada ka sameysan ee shinnidu malabka ku keydsato; kabar.
dhaab,3,"Qof, bir, iwm dhulka xoog ugu mudid si uu u xajiyo dhismo iwm."
dhaad,1,Meesha kubku u yaryahay ee canqawga ka sarraysa.
dhaad,2,Neef qoob ka xirid si aanu ararin.
dhaad,3,"Dheri, xeero, burjiko iwm tolid."
dhaad,4,Wax fahmid ama garasho . dhaag.
dhaadhac,1,Lacag aan la xoogsan oo qofka siyaaba dadban oo gasha.
dhaadhac,4,Meel hoose u degid.
dhaari,1,"Erey ereyada lammane ah lagu isticmaalo oo tilmaama qof wax khabiir ku ah, sida: fardadh fardafuulyahan."
dhaari,2,Naas caanihii laga idlaystay nuugid.
dhaari,3,Qof dhaar marin. dhaarin m.dh eeg dhaari3. dhaaryid.
dhaaw,1,Habaar; Inkaar.
dhaaw,2,"Daaweynta Jin, dabayl iwm cid laga daweeyo."
dhaawac,1,Nabar xanuun leh oo oogada ku dhaca.
dhaawac,2,Kala go'a qaab dhiska xubin ama sooh oo ay keento dhibaato dibedda ugu timid.
dhaawac,3,Nafley nabar xanuun leh gaarsiin.
dhaban,1,Wejiga labadiisa dhinac midkood.
dhaban,2,Tiro laba u qaybsanta. 
dhabarjab,1, hawl culus oo lagu daalo.
dhabarjab,2, arrin aan laguulaysan.
dhabarjab,3,Ku dh hawl culus ku daalid.
dhabas,1,Koore duug ah.
dhabas,2,Wadaan aad u dhammaatay.
dhabbaggal,1,Waddada geelu ku arooro.
dhabbaggal,2, arrin u kuur gelid.
dhabbis,1,wax hurda iska dhigid.
dhabbis,2, wax u qabasho.
dhabiil,1,Dhaqaaleynta iyo tashiilidda hantida.
dhabiil,2,Quuddarraynta. 
dhabiil,3,Wax tashiilid.
dhacaan,1,Hoore layiig ah oo ka yimaada nabar ama dhaawac gaaray oogada noole. dheecaan1.
dhacaan,2,Hab hawleed uu qanjir dhiigga ama dhacaanka soohyada wax kala soo baxo oo kaddib u beddel kiimikaad ameeyo si uu u soo saaro walax lagu isticmaali karo jirka dheexdiisa ama dibedda looga saarayo.
dhacaan,3,Oogada noole nabar ama dhaawac gaaray awgeed hoore layiig ah ka imaansho. dheecaan2.
dhacan,1,Ood weyn oo xeryaha afka laga saaro; oodafo; jiitin; oodrogo; buuxsin.
dhacan,2,La dhacay; xoolihii laga qaaday.
dhadhaab,1,Jaad geedaha ka mid ah oo xididkiisa laysku daweeyo.
dhadhaab,2,Meel leh dhagax fidsan oo is haysta.
dhadhaab,3,Meel maydka lagu dhaqo.
dhadhaab,4,"Walax adag ee qolofta dhulku ay si weyn uga samaysantahay; walaxdaas oo ka kooban macaadin; mararka qaarkood waxay ka koobantahay hal macdan oo kaliya, laakin sida badan waxay ka koobantahay dhawr macdannod."
dhadhab,1,Riyo hadal leh oo aan la xusuusan marka la tooso; qarow.
dhadhab,2,"Hurdada gudaheeda muuqaallo kala jaad ah, maanka ku arkid; riyood."
dhadhab,3, wax la jecelyahay ku qarwid.
dhafar,1,Soo jeed habeennimo.
dhafar,2,Xarig dheer dabagelis leh oo reeryada lagaga xiro.
dhafar,4,Habeen dhan oo digri lagu soo jeedo gaar ahaan siyaarooyinka.
dhako,1,"Madaxa meeshiisa sare, dhalo."
dhako,2,Meesha ugu sarraysa ; fiin.
dhako,3,Iyadoo wax la qaadaayo ama wax laga cabsanaayo meel ku dhuumasho; gabbasho.
dhalaal,1,Iftiin indhaha qabto oo ka baxa walxaha qaarkood marka ilays ku dhaco. dhalal1.
dhalaal,2,Muuqaal ifaaya yeelasho.
dhalaal,3,Dareere noqosho .
dhali,1,Afka hore ee xubinta taranta dhiddigoodka.
dhali,2,Dheddig foolanaya ilmo ka soo qabasho.
dhali,3,Ciyaar kubbadeed dhibco ka keenid .
dhalleex,1,Daymo gees la eego.
dhalleex,2,In yar.
dhalleex,3,Hadal ama dood intooda muhiim ah nuxur. 
dhalleex,4,Dhinac eegid.
dhalleex,5,Wax janjeerin. 
dhalo,1,Wax kasta meesha u sarraysa; fiin.
dhalo,2,"Maaddo adke ah oo ka samaysan ciid, kaalsiyam, soodaiyo, botaasiyam oo jabi og oo mootiye ileys ah."
dhalo,3,Ilmo uur ku jira ifka imaansho.
dhalo,4,Soo bixid ama kawsasho ; bilasho.
dhamas,1,"Geed abaareed weyn, hoos badan oo loo xiisa qaariyadaha doonyaha laga sameeyo."
dhamas,2,"Ul weyn, culus, adag oo aan qornayn."
dhambal,1,galley hal mar makiinad lagu burburiyey.
dhambal,3,Nooc
dhambal,4,Wax si dherer ah u kala dillaacin.
dhambal,5,Galley shiidid.
dhammaad,1,Meesha ugu danbaysa; idlaad; ebyoonaan.
dhammaad,2,Qeybta ugu dambaysa eray.
dhan,1,"Dhinac, gees."
dhan,2,Erey lagu isticmaalo ereyada lammane ah oo cabbidda micneeya. Tus. Caana dh..
dhan,3,Caano cabbid.
dhan,4,Wax aan wax ka dhinnayn ahaansho.
dhaqaaq,2,Wax taagnaa socod bilaabid.
dhaqaaq,3,"Subag, xayr iwm dhalaalid."
dhaqan,1,"Iseynta nolosha maaddiga, ruuxiga, iyo bulsho ee ummadi leedahay, soona maray isbeddello taariikheed."
dhaqan,2,"Mid ka kooban fikrado, caadooyin, fan, farshaxan ay sameeysteen ama ay wadaagaan mujtamaca gaar ah."
dhaqdhaq,1,Wax yar oo dufan ah ama caano ama biyo ama wax la mid ah oo wax lagu agloolo ama lagu xalo.
dhaqdhaq,2,Caano ama biyo yar oo weel salkiisa ku haray.
dhaqdhaq,3,Dhawr jeer biyo ku xalid.
dhar,1,"Nooc huga ka mid ah, cudbi, dhogor, xariir iwm ka samaysan oo dad ku xirto ama huwado."
dhar,2,"Caleen, ubax iwm nafaqo ama biyo la'aan awgeed la duubmid."
dharab,1,"Dhibco yaryar, biyo ah, ka dhasha qabowga habeenkii oo lagu arko cawska, dhirta iwm.; sayax; yaxni."
dharab,2,Rays aad u qoyan.
dharab,3,"Qoyaanka ku dul dhaca habeenkii dhulka dushiisa, amase waxyaalaha kale oo dhulka ku yaal ama dul saaran, sida cawska iyo caleemaha, waxaa qabooba oo dhibco noqda oo soo daata uumiga ku jira gibilka hoose ee dhulka korkiisa."
dharab,4,Dhiriqda lo'da.
dharab,5,dhere dharabbarafeed  Dahaar baraf siman
dharas,1,Diiddada hali diiddo in la maalo ama ilmaheedi nuugaan.
dharas,2,Hilib aad caato u ah; bantar.
dharas,3,Qof aad u karti yar.
dharas,4,Caro.
dharas,5,Hal in la maalo ama ilmaheedi nuugaan diidid.
dharas,6,Qof xanaaqid.
dharas,7,Wax la gansaday wax ku diidid.
dhardhaar,1,Dhagxaanta dabka ku wareegsan oo dheriga wax lagu karinayo la korsaaro midkood.
dhardhaar,2,Dhagax weyn oo la qaadi karo.
dhardhaar,3,Naxash.
dhardhaar,4,"Weedh ama hawraar loo qaatay run iyada oo aan la caddeyn, taas oo laga sii diiri karo weedho ama aragtiyo kale. Marka xisaabi la caddeynayo dhadhaarradu badanaaba waxa ay yihiin qaacidooyin la yaqaan oo sidooda loo qaato, maxaa yeelay caddeyntooda ayaa hore loo dhisay."
